COUNTRY,GENERIC,SORT GENERIC,FEATURE DESIGNATION
South Sudan (SSD) & Sudan (SDN),Bahr; Baḩr,BAHR,anabranch (STMA); section of stream (STMX); stream(s) (STM)
South Sudan (SSD),Bir; Bi’r,BIR,water well(s) (WLL)
South Sudan (SSD),Birka,BIRKA,pool(s) (POOL)
South Sudan (SSD),Birkat,BIRKAT,reservoir(s) (RSV)
South Sudan (SSD),Bridge,BRIDGE,bridge (BDG)
South Sudan (SSD) & Sudan (SDN),Buḩayrat,BUHAYRAT,lake (LK)
South Sudan (SSD) & Sudan (SDN),Buḥeyrat,BUHEYRAT,lake (LK)
South Sudan (SSD),Buta,BUTA,pool(s) (POOL); wetland (WTLD)
South Sudan (SSD),Chor,CHOR,pool(s) (POOL)
South Sudan (SSD),Cut,CUT,section of wadi (WADX)
South Sudan (SSD),Dahal,DAHAL,pool(s) (POOL)
South Sudan (SSD),Dahl; Daḩl,DAHL,pool(s) (POOL)
South Sudan (SSD),Debba,DEBBA,hill (HLL); mound(s) (MND); populated place (PPL)
South Sudan (SSD),Debbat,DEBBAT,hill (HLL); mound(s) (MND); wadi(s) (WAD)
South Sudan (SSD),Diawi,DIAWI,intermittent stream (STMI)
Central African Republic (CAF) & South Sudan (SSD) & Sudan (SDN),Djebel,DJEBEL,hill (HLL); mountain (MT)
South Sudan (SSD),Feid,FEID,swamp (SWMP); water well(s) (WLL)
South Sudan (SSD),Forest,FOREST,area (AREA)
South Sudan (SSD),Fort,FORT,fort (FT)
Ethiopia (ETH) & South Sudan (SSD),Gebel,GEBEL,mountain (MT)
South Sudan (SSD),Gezirat,GEZIRAT,island (ISL)
South Sudan (SSD),Ghabat,GHABAT,swamp (SWMP)
South Sudan (SSD),Guhr,GUHR,water well(s) (WLL)
South Sudan (SSD),Hagar,HAGAR,hill (HLL); rock (RK)
Central African Republic (CAF) & Congo (Kinshasa) (COD) & Ethiopia (ETH) & South Sudan (SSD) & Sudan (SDN) & Uganda (UGA),Jabal,JABAL,hill (HLL); hills (HLLS); mountain (MT); populated place (PPL); ridge(s) (RDGE); rock (RK)
South Sudan (SSD),Jabel,JABEL,hill (HLL); mountain (MT); populated place (PPL)
Central African Republic (CAF) & Congo (Kinshasa) (COD) & Ethiopia (ETH) & South Sudan (SSD) & Sudan (SDN),Jebel,JEBEL,hill (HLL); mountain (MT); populated place (PPL); ridge(s) (RDGE); wadi(s) (WAD)
South Sudan (SSD) & Sudan (SDN) & Uganda (UGA),Khawr,KHAWR,intermittent stream (STMI); stream(s) (STM); wadi(s) (WAD)
Central African Republic (CAF) & Congo (Kinshasa) (COD) & Ethiopia (ETH) & South Sudan (SSD) & Sudan (SDN) & Uganda (UGA),Khor; khor,KHOR,anabranch (STMA); area (AREA); intermittent stream (STMI); populated place (PPL); section of wadi (WADX); stream(s) (STM); wadi(s) (WAD)
South Sudan (SSD),Lake,LAKE,intermittent lake(s) (LKI); lake (LK)
South Sudan (SSD),May‘a; May’a,MAYA,lake bed(s) (LBED)
South Sudan (SSD),May‘at,MAYAT,lake bed(s) (LBED)
South Sudan (SSD),Meshra‘; Meshra’,MESHRA,landing (LDNG)
Congo (Kinshasa) (COD) & South Sudan (SSD),Mont,MONT,hill (HLL); mountain (MT)
South Sudan (SSD),Moru,MORU,hill (HLL); plateau (PLAT)
South Sudan (SSD),Mount,MOUNT,mountain (MT)
South Sudan (SSD),Mudīrīyah,MUDIRIYAH,second-order administrative division (ADM2)
South Sudan (SSD),Mudīrīyat,MUDIRIYAT,second-order administrative division (ADM2)
Egypt (EGY) & South Sudan (SSD) & Sudan (SDN) & Uganda (UGA),Nahr,NAHR,stream(s) (STM)
South Sudan (SSD),Nyin,NYIN,stream(s) (STM)
South Sudan (SSD) & Sudan (SDN),Qawz,QAWZ,dune(s) (DUNE)
South Sudan (SSD) & Sudan (SDN),Qoz,QOZ,dune(s) (DUNE); hill (HLL)
South Sudan (SSD),Rahad,RAHAD,wetland (WTLD)
South Sudan (SSD),Rapids,RAPIDS,rapids (RPDS)
South Sudan (SSD),Raqaba,RAQABA,wadi(s) (WAD)
South Sudan (SSD) & Sudan (SDN),Raqabat,RAQABAT,wadi(s) (WAD)
South Sudan (SSD),Ras,RAS,hill (HLL)
South Sudan (SSD),Rigl,RIGL,stream(s) (STM); wadi(s) (WAD)
South Sudan (SSD) & Uganda (UGA),Rijl,RIJL,stream(s) (STM); wadi(s) (WAD)
South Sudan (SSD),River,RIVER,stream(s) (STM)
South Sudan (SSD),Rivière,RIVIERE,wadi(s) (WAD)
South Sudan (SSD),Suk,SUK,market (MKT)
South Sudan (SSD),Wadi; Wādī,WADI,anabranch (STMA); hill (HLL); wadi(s) (WAD)
South Sudan (SSD),War,WAR,intermittent pool (POOLI); pond(s) (PND); pool(s) (POOL); water well(s) (WLL)
Ethiopia (ETH) & South Sudan (SSD),Wenz,WENZ,intermittent stream (STMI); stream(s) (STM)
South Sudan (SSD),Wilāyat,WILAYAT,first-order administrative division (ADM1)
Egypt (EGY) & South Sudan (SSD) & Sudan (SDN) & Uganda (UGA),نهر,نهر,stream(s) (STM)
