Well #,Season,Name of Village,State as of 2016,lat,long,GPS
1,2005,Akok ,Tonj ,8.554444444444446,29.094166666666666,8.554444444444446 29.094166666666666
2,2005,Pankor,Tonj ,8.616111111111111,29.010555555555555,8.616111111111111 29.010555555555555
3,2005,Moch,Tonj ,8.698611111111111,28.97888888888889,8.698611111111111 28.97888888888889
5,2005,Akuach,Tonj ,8.653055555555557,30.58972222222222,8.653055555555557 30.58972222222222
6,2006,Aliek Primary School,Tonj ,8.593055555555555,28.719444444444445,8.593055555555555 28.719444444444445
7,2006,Makol,Tonj ,8.18888888888889,28.89638888888889,8.18888888888889 28.89638888888889
9,2007,Maluok,Tonj ,8.719166666666666,28.956944444444446,8.719166666666666 28.956944444444446
11,2007,Machar Pakuak,Tonj ,8.653333333333332,55.35,8.653333333333332 55.35
12,2007,Panakot ,Tonj ,8.674722222222224,28.911944444444448,8.674722222222224 28.911944444444448
13,2007,Boul,Tonj ,8.658888888888889,28.979444444444447,8.658888888888889 28.979444444444447
14,2007,Bonwad,Tonj ,8.663055555555555,29.043333333333333,8.663055555555555 29.043333333333333
15,2007,Maper ,Tonj ,8.610555555555557,28.969444444444445,8.610555555555557 28.969444444444445
16,2007,Majak,Tonj ,8.741944444444446,28.877222222222223,8.741944444444446 28.877222222222223
18,2008,Abilnyang,Tonj ,8.601666666666667,28.714166666666667,8.601666666666667 28.714166666666667
30,2009,Lacdiit,Gogrial,8.273611111111112,28.518611111111113,8.273611111111112 28.518611111111113
31,2009,Lacdiit Yiik,Gogrial,8.279166666666667,28.428055555555556,8.279166666666667 28.428055555555556
32,2009,Pan-nhial,Gogrial,8.186388888888889,28.46333333333333,8.186388888888889 28.46333333333333
33,2009,Abei,Gogrial,8.565833333333334,28.57027777777778,8.565833333333334 28.57027777777778
34,2009,Juol,Gogrial,8.474722222222223,28.470277777777778,8.474722222222223 28.470277777777778
35,2009,Machar,Gogrial,8.488888888888889,28.426388888888887,8.488888888888889 28.426388888888887
44,2009,Bahr-Sherki,Wau,7.701944444444445,28.197222222222223,7.701944444444445 28.197222222222223
45,2010,Riangalek-E,Gogrial,8.183055555555555,29.043333333333333,8.183055555555555 29.043333333333333
46,2010,Mayar Ajang,Tonj ,8.473333333333334,28.993055555555554,8.473333333333334 28.993055555555554
47,2010,Mayar Ajang,Tonj ,8.503611111111113,28.967499999999998,8.503611111111113 28.967499999999998
48,2010,Achier,Tonj ,8.455277777777779,28.848055555555558,8.455277777777779 28.848055555555558
50,2010,Wunliet,Tonj ,8.489166666666668,28.772777777777776,8.489166666666668 28.772777777777776
51,2010,Amouthich,Gogrial,8.345277777777778,28.471666666666664,8.345277777777778 28.471666666666664
52,2010,Zagalona (Alelchok),Wau,7.884166666666666,28.092222222222222,7.884166666666666 28.092222222222222
54,2010,Bahr-Sherki ( Eastern Bank),Wau,7.916944444444445,28.258888888888887,7.916944444444445 28.258888888888887
55,2010,Bahr-Sherki,Wau,7.927222222222222,28.05638888888889,7.927222222222222 28.05638888888889
56,2010,Athou,,7.867222222222222,28.09277777777778,7.867222222222222 28.09277777777778
57,2010,Lol Athian,Wau,745.0,28.178611111111113,745.0 28.178611111111113
58,2010,Maker,Gogrial,8.463888888888889,28.81388888888889,8.463888888888889 28.81388888888889
59,2010,Wunngot,Wau,8.24,28.262500000000003,8.24 28.262500000000003
