Well #,Season,Name of Village,State as of 2016,lat,long
1,2005,Akok ,Tonj ,8.554444444,29.09416667
2,2005,Pankor,Tonj ,8.616111111,29.01055556
3,2005,Moch,Tonj ,8.698611111,28.97888889
5,2005,Akuach,Tonj ,8.653055556,30.58972222
6,2006,Aliek Primary School,Tonj ,8.593055556,28.71944444
7,2006,Makol,Tonj ,8.188888889,28.89638889
9,2007,Maluok,Tonj ,8.719166667,28.95694444
11,2007,Machar Pakuak,Tonj ,8.653333333,55.35
12,2007,Panakot ,Tonj ,8.674722222,28.91194444
13,2007,Boul,Tonj ,8.658888889,28.97944444
14,2007,Bonwad,Tonj ,8.663055556,29.04333333
15,2007,Maper ,Tonj ,8.610555556,28.96944444
16,2007,Majak,Tonj ,8.741944444,28.87722222
18,2008,Abilnyang,Tonj ,8.601666667,28.71416667
30,2009,Lacdiit,Gogrial,8.273611111,28.51861111
31,2009,Lacdiit Yiik,Gogrial,8.279166667,28.42805556
32,2009,Pan-nhial,Gogrial,8.186388889,28.46333333
33,2009,Abei,Gogrial,8.565833333,28.57027778
34,2009,Juol,Gogrial,8.474722222,28.47027778
35,2009,Machar,Gogrial,8.488888889,28.42638889
44,2009,Bahr-Sherki,Wau,7.701944444,28.19722222
45,2010,Riangalek-E,Gogrial,8.183055556,29.04333333
46,2010,Mayar Ajang,Tonj ,8.473333333,28.99305556
47,2010,Mayar Ajang,Tonj ,8.503611111,28.9675
48,2010,Achier,Tonj ,8.455277778,28.84805556
50,2010,Wunliet,Tonj ,8.489166667,28.77277778
51,2010,Amouthich,Gogrial,8.345277778,28.47166667
52,2010,Zagalona (Alelchok),Wau,7.884166667,28.09222222
54,2010,Bahr-Sherki ( Eastern Bank),Wau,7.916944444,28.25888889
55,2010,Bahr-Sherki,Wau,7.927222222,28.05638889
56,2010,Athou,,7.867222222,28.09277778
57,2010,Lol Athian,Wau,745,28.17861111
58,2010,Maker,Gogrial,8.463888889,28.81388889
59,2010,Wunngot,Wau,8.24,28.2625
60,2010,Tokyiep,Gogrial,8.454444444,28.71083333
61,2010,Wargol,Wau,8.115555556,190.25
62,2010,Tiitmayom,Gogrial,8.148333333,28.34305556
63,2010,Bar Amiyok,Wau,7.955277778,28.26916667
64,2010,Adiet,Wau,8.181944444,28.32777778
65,2010,Lojo,Wau,8.008888889,28.26777778
66,2010,Wuntim,Gogrial,8.133333333,28.37611111
67,2010,Angothol,Wau,7.837777778,28.17861111
68,2010,Lelkang,Wau,7.943888889,28.345
70,2010,Alab,Wau,7.791388889,28.16694444
71,2010, Zerah (Fadali School),Wau,7.933333333,28.22416667
72,2010,Abunybuny,Wau,7.768888889,28.2475
74,2010,Eastern Bank Market,Wau,7.757777778,28.2025
75,2010,Sumuot,Wau,7.927222222,28.15166667
77,2011,Thattiikmuoc,Tonj ,8.598611111,29.0875
83,2011,Awuol,Tonj ,8.202777778,28.80611111
84,2011,Bhol,Wau,7.763611111,28.23444444
85,2011,Wingo,Wau,8.001944444,28.31916667
86,2011,Luonyakeer,Gogrial,8.458055556,28.53277778
90,2011,Mabior -Abun Pimary School,Wau,8.15,28.30361111
91,2011,Ayibuth,Tonj ,8.427777778,28.9675
