Year,Service Type,Service Level,Coverage,ISO3,Residence Type,Population
2014,Drinking water,At least basic,37.33921432,SSD,rural,3207038.9804947763
2014,Drinking water,At least basic,58.48262405,SSD,urban,1149740.551093952
2014,Drinking water,Limited service,30.45825831,SSD,rural,2616038.4854650833
2014,Drinking water,Limited service,23.00457509,SSD,urban,452258.99609165714
2014,Drinking water,Surface water,17.84272043,SSD,rural,1532498.7678283988
2014,Drinking water,Surface water,8.49503484,SSD,urban,167008.34131781617
2014,Drinking water,Unimproved,14.35980769,SSD,rural,1233353.830628717
2014,Drinking water,Unimproved,10.01776736,SSD,urban,196944.53784033665
2015,Drinking water,At least basic,36.72677994,SSD,rural,3193592.2076624758
2015,Drinking water,At least basic,60.70687866,SSD,urban,1226349.126083731
2015,Drinking water,Limited service,32.66279967,SSD,rural,2840207.137052715
2015,Drinking water,Limited service,22.22855395,SSD,urban,449042.4859983662
2015,Drinking water,Surface water,16.30035522,SSD,rural,1417404.0713007404
2015,Drinking water,Surface water,6.762929552,SSD,urban,136618.99489696213
2015,Drinking water,Unimproved,14.31006538,SSD,rural,1244337.6022447057
2015,Drinking water,Unimproved,10.30163914,SSD,urban,208105.01932284585
2016,Drinking water,At least basic,36.04600525,SSD,rural,3159207.072629688
2016,Drinking water,At least basic,62.97251129,SSD,urban,1302362.5917285255
2016,Drinking water,Limited service,34.93568258,SSD,rural,3061894.2301208745
2016,Drinking water,Limited service,21.41115197,SSD,urban,442813.58326534857
2016,Drinking water,Surface water,14.75799,SSD,rural,1293445.5860625
2016,Drinking water,Surface water,5.030824264,SSD,urban,104044.72035140573
2016,Drinking water,Unimproved,14.26032308,SSD,rural,1249828.19094275
2016,Drinking water,Unimproved,10.58551091,SSD,urban,218923.67226757586
2017,Drinking water,At least basic,35.29688644,SSD,rural,3106117.5354672545
2017,Drinking water,At least basic,65.27952576,SSD,urban,1377919.119990142
2017,Drinking water,Limited service,37.27690706,SSD,rural,3280358.8748223055
2017,Drinking water,Limited service,20.55236913,SSD,urban,433819.05820576474
2017,Drinking water,Surface water,13.21562478,SSD,rural,1162971.8088900528
2017,Drinking water,Surface water,3.298718977,SSD,urban,69629.30408829339
2017,Drinking water,Unimproved,14.21058077,SSD,rural,1250527.697220615
2017,Drinking water,Unimproved,10.86938269,SSD,urban,229430.74504101425
2018,Drinking water,At least basic,34.47942734,SSD,rural,3042118.4950311063
2018,Drinking water,At least basic,67.62792969,SSD,urban,1455980.2959766749
2018,Drinking water,Limited service,39.68647309,SSD,rural,3501535.9332717764
2018,Drinking water,Limited service,19.65220545,SSD,urban,423097.73548954877
2018,Drinking water,Surface water,11.67325957,SSD,rural,1029931.2249307171
2018,Drinking water,Surface water,1.566613689,SSD,urban,33728.056929245475
2018,Drinking water,Unimproved,14.16083846,SSD,rural,1249410.2108922617
2018,Drinking water,Unimproved,11.15325446,SSD,urban,240121.4824143165
2019,Drinking water,At least basic,33.59362793,SSD,rural,2976685.683543315
2019,Drinking water,At least basic,70.01770782,SSD,urban,1541264.7933877502
2019,Drinking water,Limited service,42.16438068,SSD,rural,3736128.4284970756
2019,Drinking water,Limited service,18.71066092,SSD,urban,411868.4235015
2019,Drinking water,Surface water,10.13089435,SSD,rural,897684.7703371841
2019,Drinking water,Surface water,0,SSD,urban,0
2019,Drinking water,Unimproved,14.11109616,SSD,rural,1250365.0396468225
2019,Drinking water,Unimproved,11.27163464,SSD,urban,248116.857513
2020,Drinking water,At least basic,33.59362793,SSD,rural,3000820.6895933445
2020,Drinking water,At least basic,70.01770782,SSD,urban,1583115.2875819656
2020,Drinking water,Limited service,42.16438068,SSD,rural,3766421.0061528147
2020,Drinking water,Limited service,18.71066092,SSD,urban,423052.02877197583
2020,Drinking water,Surface water,10.13089435,SSD,rural,904963.210073998
2020,Drinking water,Surface water,0,SSD,urban,0
2020,Drinking water,Unimproved,14.11109616,SSD,rural,1260503.0155720129
2020,Drinking water,Unimproved,11.27163464,SSD,urban,254854.0600685783
