State as of 2016,Season,Well #
Warrap,2022,48
Gogrial ,2020,34
Tonj,2019,33
Gogrial East,2021,32
Tonj ,2014,25
Aweil East,2018,21
Wau,2018,17
Wau,2010,17
Gogrial,2012,17
Gogrial,2013,17
Tonj ,2011,17
Tonj ,2012,15
Gogrial,2016,12
Gogrial,2017,12
Wau,2019,12
Gogrial,2020,11
Gogrial,2009,11
Gogrial,2008,11
Wau,2017,10
Tonj ,2007,10
Gogrial,2019,7
Wau,2013,7
Jur River,2021,7
Gogrial,2014,6
Gogrial,2010,6
Gogrial West,2021,6
Wau,2020,6
Wau,2016,5
Wau,2011,5
Twic,2013,5
Aweil,2018,5
Gogrial,2015,5
Tonj ,2010,4
Tonj ,2005,4
Central Equatoria,2016,3
Wau,2015,3
Tonj ,2013,3
Western Bahr-El-Ghazal,2022,3
Twic,2016,3
Wau,2009,2
Twic,2020,2
Wau,2021,2
Tonj ,2006,2
Wau,2014,2
Wau,2012,2
Gogrial ,2019,1
Aweil ,2018,1
Gograil East,2021,1
Tonj ,2008,1
Aweil  ,2018,1
Juba,2015,1
Wau ,2017,1
Wau ,2019,1
Western Bahr-El-Ghazal,2021,1
Gogrial,2011,1
