Well #,Season,GPS ,Name of Village,State as of 2016
1,2005,"N: 8' 31' 136"" E: 28' 56' 579""",Akok ,Tonj 
2,2005,"N: 8' 33' 238"": E: 028' 55' 338""",Pankor,Tonj 
3,2005,"N: 08' 32' 595"" E: 028' 57' 104""",Moch,Tonj 
4,2005,,Thonyiik,
5,2005,"N: 08' 31' 491"" E: 028' 57' 590.3""",Akuach,Tonj 
6,2006,"N: 08' 23' 755"" E: 028' 41' 130""",Aliek Primary School,Tonj 
7,2006,"N: 08' 07' 260"" E: 028' 38' 947""",Makol,Tonj 
8,2007,,Tonj  Girl's School,Tonj 
9,2007,"N: 08' 34' 549"" E: 028' 52' 325""",Maluok,Tonj 
10,2007,,Wunkuel ,Tonj 
11,2007,"N: 08' 32' 432"" E: 51' 261""",Machar Pakuak,Tonj 
12,2007,"N: 08' 33' 449"" E: 028' 51' 223""",Panakot ,Tonj 
13,2007,"N: 08' 30' 572"" E: 028' 55' 226""",Boul,Tonj 
14,2007,"N: 08' 34' 347"" E: 028' 55' 456""",Bonwad,Tonj 
15,2007,"N: 08' 35' 098"" E: 028' 50' 490""",Maper ,Tonj 
16,2007,"N: 08' 35' 571"" E: 028' 49' 218"" ",Majak,Tonj 
17,2007,"N: 8. 614285"" E: 28. 745443""",Achierchok,Tonj 
18,2008,"N: 08' 33' 186"" E: 028' 41' 111""",Abilnyang,Tonj 
19,2008,"N: 8. 306762"" E: 27. 912833""",Kuacjok,Gogrial
20,2008,"N: 8. 308124"" E: 27. 975940""",Kuajok,Gogrial
21,2008,"N: 8. 305501"" E: 27. 974567""",Kuajok,Gogrial
22,2008,"N: 8.310846"" E: 27.979081""", Kuacjok Town,Gogrial
23,2008,"N: 8. 313380"" E: 27. 986028""",Kuajok,Gogrial
24,2008,"N: 8. 303265"" E: 27. 986303""",Kuajok,Gogrial
25,2008,"N: 8. 312885"" E: 27. 988962""",Kuajok,Gogrial
26,2008,"N: 8. 310069"" E: 27. 967935""",Kuajok,Gogrial
27,2008,,Kuajok,Gogrial
28,2008,,Kuajok,Gogrial
29,2008,"N: 8. 356901"" E: 27. 924302""",Malual monyjoc Primary School,Gogrial
30,2009,"N: 08' 09' 445"" E: 028' 17' 847""",Lacdiit,Gogrial
31,2009,"N: 08' 10' 405"" E: 028' 17' 521""",Lacdiit Yiik,Gogrial
32,2009,"N: 08' 09' 131"" E: 028' 20' 468""",Pan-nhial,Gogrial
33,2009,"N: 08' 22' 717"" E: 028' 23' 673""",Abei,Gogrial
34,2009,"N: 08' 21' 449"" E: 028' 25' 193""",Juol,Gogrial
35,2009,"N: 08' 21' 500"" E: 028' 24' 095""",Machar,Gogrial
36,2009,"N: 8. 883643"" E: 28.  021825""",Lang village,Gogrial
37,2009,"N: 8. 878717"" E: 28. 026371""",Lang Primary School,Gogrial
38,2009,"N: 8. 946779"" E: 27. 863015""",Maduol ,Gogrial
39,2009,"N: 8. 938448"" E: 27. 835136""",Awich,Gogrial
40,2009,"N: 8. 950228"" E: 28. 847855""",Abooth,Gogrial
41,2009,,Ariang Primary School,
42,2009,"N: 7. 710770"" E: 28. 032771""",WFS Old compound in Wau,Wau
43,2009,,Malek Girl's School,
44,2009,"N: 07' 42' 007"" E: 028' 00' 710""",Bahr-Sherki,Wau
45,2010,"N: 08' 04' 419"" E: 028' 31' 189.6"".",Riangalek-E,Gogrial
46,2010,"N: 08' 16' 744"" E: 028' 50' 575""",Mayar Ajang,Tonj 
47,2010,"N: 08' 16' 853"" E: 028' 50' 483""",Mayar Ajang,Tonj 
48,2010,"N: 08' 11' 979"" E: 028' 44' 413""",Achier,Tonj 
49,2010,,Boriak-Mathiang,
50,2010,"N: 08' 24' 321"" E: 028' 38' 502""",Wunliet,Tonj 
51,2010,"N: 08' 17' 223"" E: 028' 24' 258""",Amouthich,Gogrial
52,2010,"N: 07' 46' 423"" E: 027' 59' 392""",Zagalona (Alelchok),Wau
53,2010,,Pagak,
54,2010,"N: 07' 42' 781"" E: 028' 01' 872""",Bahr-Sherki ( Eastern Bank),Wau
55,2010,"N: 07' 42' 818"" E: 028' 02' 083""",Bahr-Sherki,Wau
56,2010,"N: 07' 45' 422"" E: 027' 59' 394""",Athou,
57,2010,"N: 07'45' 616"" E: 028' 07' 223""",Lol Athian,Wau
58,2010,"N: 08' 13' 890"" E: 028' 34' 890""",Maker,Gogrial
59,2010,"N: 07' 59' 924"" E: 028' 10' 345""",Wunngot,Wau
60,2010,"N: 08' 15' 736"" E: 028' 37' 339""",Tokyiep,Gogrial
61,2010,"N: 07' 54' 776"" E: 028' 09'735""",Wargol,Wau
62,2010,"N: 08' 05' 234"" E: 028' 15' 335""",Tiitmayom,Gogrial
63,2010,"N: 07' 54' 199"" E: 028' 08' 489""",Bar Amiyok,Wau
64,2010,"N: 08' 06' 295"" E: 028' 10' 580""",Adiet,Wau
65,2010,"N: 07' 54' 392"" E: 028' 06' 604""",Lojo,Wau
66,2010,"N: 08' 06' 120"" E: 028' 15' 454""",Wuntim,Gogrial
67,2010,"N: 07' 40' 616"" E: 028' 07' 223""",Angothol,Wau
68,2010,"N: 07' 40' 998"" E: 028' 05' 942""",Lelkang,Wau
69,2010,,Maiwut,
70,2010,"N: 07' 41' 389"" E: 028' 02' 481""",Alab,Wau
71,2010,"N: 07' 42' 840"" E: 028' 01' 747""", Zerah (Fadali School),Wau
72,2010,"N: 07' 41' 308"" E: 028' 01' 831""",Abunybuny,Wau
73,2010,,Malek Amal,Wau
74,2010,"N: 07' 42' 208"" E: 028' 01' 669""",Eastern Bank Market,Wau
75,2010,"N: 07' 42' 818"" E: 028' 02' 426""",Sumuot,Wau
76,2010,,School Majak,
77,2011,"N: 08' 29' 415"" E: 028' 56' 555""",Thattiikmuoc,Tonj 
78,2011,,Ayuak,
79,2011,,Damagea,
80,2011,,Anoon,
81,2011,,Dateng,Wau
82,2011,,Tobaween,Wau
83,2011,"N: 08' 12' 010"" E: 028' 44' 262""",Awuol,Tonj 
84,2011,"N: 07' 40' 349"" E: 028' 06' 484",Bhol,Wau
85,2011,"N: 07' 44' 967"" E: 028' 08' 669""",Wingo,Wau
86,2011,"N: 08' 13' 869"" E: 028' 22' 598""",Luonyakeer,Gogrial
87,2011,,Malual-amuk,
88,2011,,Liidich,
89,2011,"N: 8. 561110"" E: 28. 722675""",Amoukou,Tonj 
90,2011,"N: 08' 09' 900"": E: 028' 09' 553""",Mabior -Abun Pimary School,Wau
91,2011,"N: 08' 17' 520"" E: 028' 49' 543""",Ayibuth,Tonj 
92,2011,"N: 08' 13' 225"" E: 028' 51' 091""",Manyiel,Tonj 
93,2011,"N: 08' 09' 020"" E: 028' 58' 431""",Tharakon,Tonj 
94,2011,"N: 08' 08' 895"" E: 028' 55' 612""",Aguor,Tonj 
95,2011,"N: 08' 00' 945"" E: 028' 50' 661""",Anaak,Tonj 
96,2011,"N: 08' 06' 824"" E: 029' 10' 954""",Ayuang,Tonj 
97,2011,"N: 08' 04' 770"" E: 029' 13' 263""",Angotbuol,Tonj 
98,2011,"N: 08' 06' 977"" E: 029' 14' 096""",Gangmiir,Tonj 
99,2011,"N: 08' 12' 194"" E: 029' 17' 309""",Gormok,Tonj 
100,2011,"N: 08' 17' 613"" E: 029' 14' 929""",Wunkuel,Tonj 
101,2011,"N: 08' 19' 761"" E: 029' 10' 369""",Acholok,Tonj 
102,2011,"N: 08' 18' 615"" E: 029' 08' 294""",Ahoobu,Tonj 
103,2011,"N: 08' 14' 401"" E: 029' 06' 273""",Aguoch,Tonj 
104,2011,"N: 08' 22' 373"" E: 029' 07' 577""",Makuach,Tonj 
105,2012,"N: 08' 09' 628"" E: 028' 17' 773""",Lualgol Primary School,Gogrial
106,2012,"N: 08' 10' 132"" E: 028' 16' 271""",Wun Abyei,Gogrial
107,2012,"N: 08' 12' 337"" E: 028' 25' 358""",Thiou Primary ,Gogrial
108,2012,,Kuoch,Tonj 
109,2012,"N: 08' 34' 470"" E: 028' 48' 061""",Makuach Rual,Tonj 
110,2012,"N: 08' 32' 804"" E: 028' 49' 964""",Mabior Duor,Tonj 
111,2012,"N: 08' 36' 169"" E: 028' 50' 528""",Majok,Tonj 
112,2012,"N: 08' 36' 169"" E: 028' 53' 175""",Nyibiir,Tonj 
113,2012,"N: 08' 32' 468"" E: 28' 54' 516""",Achol Paleu,Tonj 
114,2012,"N: 08' 32' 180.8"" E: 028' 56' 779""",Roorngek,Tonj 
115,2012,"N: 08' 32' 328"" E: 028' 57' 251""",Ruel Marial,Tonj 
116,2012,"N: 08' 31' 151"" E: 028' 56' 568""",Akok Mawien,Tonj 
117,2012,"N: 08' 28' 505"" E: 028' 55' 256""",Amentnyang,Tonj 
118,2012,"N: 08' 22' 982"" E: 029' 08' 392""",Ahoony,Tonj 
119,2012,"N: 08' 29' 470"" E: 028' 57' 583""",Ariik Agek,Tonj 
120,2012,"N: 08' 36' 305"" E: 028' 49' 668""",Majaklou,Tonj 
121,2012,"N: 08' 34' 378"" E: 028' 44' 451""",Amoukou,Tonj 
122,2012,"N: 08' 32' 008"" E: 028' 27' 512""",Lilmantang,Gogrial
123,2012,"N: 08' 34' 623"" E: 028' 27' 151""",Chueipuol,Gogrial
124,2012,"N: 08' 34' 028"" E: 028' 27' 198""",Bokagok,Gogrial
125,2012,"N: 08' 33' 623"" E: 028' 30' 135""",Wunachier,Gogrial
126,2012,"N: 08' 33' 151"" E: 028' 30' 124""",Machar,Gogrial
127,2012,"N: 08' 36' 380"" E: 028' 28' 554""",Lietnhom Market,Gogrial
128,2012,"N: 08' 30' 916"" E: 028' 27' 234""",Wunleet,Gogrial
129,2012,"N: 08' 26' 631"" E: 028' 25' 481""",Mayomchol,Gogrial
